Date,Open,High,Low,Close,Volume,Currency,security,ticker_id,class,source
2021-05-18,27.0,27.0,25.81,26.48,0,RUB,Russian VIX,RVI,index,external
2021-05-19,26.84,27.6,26.48,27.2,0,RUB,Russian VIX,RVI,index,external
2021-05-20,27.68,27.84,27.07,27.39,0,RUB,Russian VIX,RVI,index,external
2021-05-21,27.13,27.27,26.11,26.45,0,RUB,Russian VIX,RVI,index,external
2021-05-24,26.34,26.89,26.11,26.13,0,RUB,Russian VIX,RVI,index,external
2021-05-25,25.95,26.05,25.49,25.59,0,RUB,Russian VIX,RVI,index,external
2021-05-26,25.62,25.89,25.04,25.89,0,RUB,Russian VIX,RVI,index,external
2021-05-27,25.68,25.73,25.28,25.41,0,RUB,Russian VIX,RVI,index,external
2021-05-28,25.18,25.35,24.96,25.12,0,RUB,Russian VIX,RVI,index,external
2021-05-31,25.51,25.6,25.29,25.49,0,RUB,Russian VIX,RVI,index,external
2021-06-01,24.75,25.5,24.64,25.17,0,RUB,Russian VIX,RVI,index,external
2021-06-02,24.97,25.34,24.74,25.12,0,RUB,Russian VIX,RVI,index,external
2021-06-03,24.85,25.23,24.67,24.91,0,RUB,Russian VIX,RVI,index,external
2021-06-04,25.2,25.43,24.43,25.0,0,RUB,Russian VIX,RVI,index,external
2021-06-07,24.72,24.97,24.24,24.45,0,RUB,Russian VIX,RVI,index,external
2021-06-08,24.37,24.65,23.16,23.2,0,RUB,Russian VIX,RVI,index,external
2021-06-09,23.16,24.47,22.6,22.61,0,RUB,Russian VIX,RVI,index,external
2021-06-10,22.65,24.48,22.57,23.55,0,RUB,Russian VIX,RVI,index,external
2021-06-11,24.78,25.33,24.25,24.72,0,RUB,Russian VIX,RVI,index,external
2021-06-14,25.35,25.4,24.52,24.72,0,RUB,Russian VIX,RVI,index,external
2021-06-15,24.81,24.84,23.78,23.84,0,RUB,Russian VIX,RVI,index,external
2021-06-16,24.54,25.32,24.12,25.09,0,RUB,Russian VIX,RVI,index,external
2021-06-17,24.7,24.7,22.94,23.04,0,RUB,Russian VIX,RVI,index,external
2021-06-18,22.74,22.91,21.82,22.42,0,RUB,Russian VIX,RVI,index,external
2021-06-21,23.18,24.64,23.15,23.76,0,RUB,Russian VIX,RVI,index,external
2021-06-22,23.09,23.52,22.47,22.61,0,RUB,Russian VIX,RVI,index,external
2021-06-23,21.77,21.88,20.65,21.15,0,RUB,Russian VIX,RVI,index,external
2021-06-24,21.23,21.61,20.66,21.0,0,RUB,Russian VIX,RVI,index,external
2021-06-25,21.24,21.25,20.79,20.93,0,RUB,Russian VIX,RVI,index,external
2021-06-28,21.13,21.18,20.15,20.23,0,RUB,Russian VIX,RVI,index,external
2021-06-29,20.13,21.64,19.73,21.64,0,RUB,Russian VIX,RVI,index,external
2021-06-30,21.14,21.84,20.39,20.79,0,RUB,Russian VIX,RVI,index,external
2021-07-01,20.78,21.29,20.45,20.52,0,RUB,Russian VIX,RVI,index,external
2021-07-02,20.88,20.93,20.11,20.77,0,RUB,Russian VIX,RVI,index,external
2021-07-05,21.19,21.22,20.75,21.02,0,RUB,Russian VIX,RVI,index,external
2021-07-06,21.44,21.82,20.61,21.43,0,RUB,Russian VIX,RVI,index,external
2021-07-07,22.6,22.89,21.58,22.61,0,RUB,Russian VIX,RVI,index,external
2021-07-08,20.44,24.61,20.33,23.44,0,RUB,Russian VIX,RVI,index,external
2021-07-09,23.46,24.06,21.51,21.61,0,RUB,Russian VIX,RVI,index,external
2021-07-12,22.57,23.12,20.85,20.98,0,RUB,Russian VIX,RVI,index,external
2021-07-13,20.94,21.79,20.82,21.7,0,RUB,Russian VIX,RVI,index,external
2021-07-14,20.75,21.79,20.65,21.79,0,RUB,Russian VIX,RVI,index,external
2021-07-15,21.89,22.67,21.44,21.96,0,RUB,Russian VIX,RVI,index,external
2021-07-16,22.06,22.5,20.79,21.5,0,RUB,Russian VIX,RVI,index,external
2021-07-19,21.55,23.92,21.24,23.77,0,RUB,Russian VIX,RVI,index,external
2021-07-20,24.43,24.52,22.33,22.78,0,RUB,Russian VIX,RVI,index,external
2021-07-21,22.19,22.87,21.4,21.48,0,RUB,Russian VIX,RVI,index,external
2021-07-22,21.69,22.15,21.31,21.91,0,RUB,Russian VIX,RVI,index,external
2021-07-23,22.46,22.8,22.18,22.58,0,RUB,Russian VIX,RVI,index,external
2021-07-26,23.14,23.46,22.26,23.14,0,RUB,Russian VIX,RVI,index,external
2021-07-27,22.48,23.26,22.3,22.55,0,RUB,Russian VIX,RVI,index,external
2021-07-28,22.95,23.24,22.55,22.76,0,RUB,Russian VIX,RVI,index,external
2021-07-29,22.2,22.3,20.84,21.27,0,RUB,Russian VIX,RVI,index,external
2021-07-30,21.38,22.1,21.08,21.44,0,RUB,Russian VIX,RVI,index,external
2021-08-02,22.19,22.24,21.52,21.56,0,RUB,Russian VIX,RVI,index,external
2021-08-03,22.03,22.38,21.57,22.11,0,RUB,Russian VIX,RVI,index,external
2021-08-04,22.23,22.45,21.6,21.62,0,RUB,Russian VIX,RVI,index,external
2021-08-05,22.02,22.11,21.69,21.98,0,RUB,Russian VIX,RVI,index,external
2021-08-06,21.79,21.91,20.67,20.81,0,RUB,Russian VIX,RVI,index,external
2021-08-09,21.91,22.09,21.32,21.86,0,RUB,Russian VIX,RVI,index,external
2021-08-10,22.03,22.38,21.68,21.94,0,RUB,Russian VIX,RVI,index,external
2021-08-11,22.34,22.57,21.7,22.29,0,RUB,Russian VIX,RVI,index,external
2021-08-12,21.82,22.05,20.89,21.27,0,RUB,Russian VIX,RVI,index,external
2021-08-13,20.59,21.31,20.01,20.52,0,RUB,Russian VIX,RVI,index,external
2021-08-16,21.5,22.31,20.95,21.15,0,RUB,Russian VIX,RVI,index,external
